id,code_prefix_start,code_prefix_end,name
303,303000,303999,303 UZUN VADELİ KREDİLERİN ANAPARA TAKSİTLERİ VE FAİZLERİ
304,304000,304999,"304 TAHVİL ANAPARA BORÇ, TAKSİT VE FAİZLERİ"
305,305000,305999,305 ÇIKARILMIŞ BONOLAR VE SENETLER
306,306000,306999,306 ÇIKARILMIŞ DİĞER MENKUL KIYMETLER
308,308000,308999,308 MENKUL KIYMETLER İHRAÇ FARKI (-)
309,309000,309999,309 DİĞER MALİ BORÇLAR
320,320000,320999,320 SATICILAR
321,321000,321999,321 BORÇ SENETLERİ
322,322000,322999,322 BORÇ SENETLERİ REESKONTU (-)
326,326000,326999,326 ALINAN DEPOZİTO VE TEMİNATLAR
329,329000,329999,329 DİĞER TİCARİ BORÇLAR
331,331000,331999,331 ORTAKLARA BORÇLAR
332,332000,332999,332 İŞTİRAKLERE BORÇLAR
333,333000,333999,333 BAĞLI ORTAKLIKLARA BORÇLAR
335,335000,335999,335 PERSONELE BORÇLAR
337,337000,337999,337 DİĞER BORÇ SENETLERİ REESKONTU (-)
339,339000,339999,339 DİĞER ÇEŞİTLİ BORÇLAR(1)
340,340000,340999,340 ALINAN SİPARİŞ AVANSLARI
349,349000,349999,349 ALINAN DİĞER AVANSLAR
360,360000,360999,360 ÖDENECEK VERGİ VE FONLAR
361,361000,361999,361 ÖDENECEK SOSYAL GÜVENLİK KESİNTİLERİ
368,368000,368999,368 VADESİ GEÇMİŞ ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ VERGİ VE DİĞER YÜKÜMLÜLÜKLER
369,369000,369999,369 ÖDENECEK DİĞER YÜKÜMLÜLÜKLER
370,370000,370999,370 DÖNEM KÂRI VERGİ VE DİĞER YASAL YÜKÜMLÜLÜK KARŞILIKLARI
371,371000,371999,371 DÖNEM KÂRININ PEŞİN ÖDENEN VERGİ VE DİĞER YÜKÜMLÜLÜKLERİ (-)
372,372000,372999,372 KIDEM TAZMİNATI KARŞILIĞI
373,373000,373999,373 MALİYET GİDERLERİ KARŞILIĞI
379,379000,379999,379 DİĞER BORÇ VE GİDER KARŞILIKLARI
380,380000,380999,380 GELECEK AYLARA AİT GELİRLER
381,381000,381999,381 GİDER TAHAKKUKLARI
391,391000,391999,391 HESAPLANAN KDV
392,392000,392999,392 DİĞER KDV
398,398000,398999,398 SAYIM VE TESELLÜM FAZLALARI(1)
399,399000,399999,399 DİĞER ÇEŞİTLİ YABANCI KAYNAKLAR
400,400000,400999,400 BANKA KREDİLERİ
405,405000,405999,405 ÇIKARILMIŞ TAHVİLLER
407,407000,407999,407 ÇIKARILMIŞ DİĞER MENKUL KIYMETLER
408,408000,408999,408 MENKUL KIYMETLER İHRAÇ FARKI (-)
409,409000,409999,409 DİĞER MALİ BORÇLAR
420,420000,420999,420 SATICILAR
421,421000,421999,421 BORÇ SENETLERİ
422,422000,422999,422 BORÇ SENETLERİ REESKONTU (-)
426,426000,426999,426 ALINAN DEPOZİTO VE TEMİNATLAR
429,429000,429999,429 DİĞER TİCARİ BORÇLAR
431,431000,431999,431 ORTAKLARA BORÇLAR
432,432000,432999,432 İŞTİRAKLERE BORÇLAR
433,433000,433999,433 BAĞLI ORTAKLIKLARA BORÇLAR
437,437000,437999,437 DİĞER BORÇ SENETLERİ REESKONTU (-)
438,438000,438999,438 KAMUYA OLAN ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ BORÇLAR
439,439000,439999,439 DİĞER ÇEŞİTLİ BORÇLAR
440,440000,440999,440 ALINAN SİPARİŞ AVANSLARI
449,449000,449999,449 ALINAN DİĞER AVANSLAR
472,472000,472999,472 KIDEM TAZMİNATI KARŞILIĞI
479,479000,479999,479 DİĞER BORÇ VE GİDER KARŞILIKLARI
480,480000,480999,480 GELECEK YILLARA AİT GELİRLER
481,481000,481999,481 GİDER TAHAKKUKLARI
492,492000,492999,492 GELECEK YILLARA ERTELENEN VEYA TERKİN EDİLEN KATMA DEĞER VERGİSİ
493,493000,493999,493 TESİSE KATILMA PAYLARI
499,499000,499999,499 DİĞER ÇEŞİTLİ UZUN VADELİ YABANCI KAYNAKLAR
500,500000,500999,500 SERMAYE
501,501000,501999,501 ÖDENMEMİŞ SERMAYE (-)
520,520000,520999,520 HİSSE SENETLERİ İHRAÇ PRİMLERİ
521,521000,521999,521 HİSSE SENEDİ İPTAL KÂRLARI
522,522000,522999,522 M.D.V. YENİDEN DEĞERLEME ARTIŞLARI
523,523000,523999,523 İŞTİRAKLER YENİDEN DEĞERLEME ARTIŞLARI
529,529000,529999,529 DİĞER SERMAYE YEDEKLERİ
540,540000,540999,540 YASAL YEDEKLER
541,541000,541999,541 STATÜ YEDEKLERİ
542,542000,542999,542 OLAĞANÜSTÜ YEDEKLER
548,548000,548999,548 DİĞER KÂR YEDEKLERİ
549,549000,549999,549 ÖZEL FONLAR
570,570000,570999,570 GEÇMİŞ YILLAR KÂRLARI
580,580000,580999,580 GEÇMİŞ YILLAR ZARARLARI
590,590000,590999,590 DÖNEM NET KÂRI
591,591000,591999,591 DÖNEM NET ZARARI (-)
600,600000,600999,600 Y.İÇİ SATIŞLAR
601,601000,601999,601 Y.DIŞI SATIŞLAR
602,602000,602999,602 DİĞER GELİRLER
610,610000,610999,610 SATIŞTAN İADELER (-)
611,611000,611999,611 SATIŞ İSKONTOLARI (-)
612,612000,612999,612 DİĞER İNDİRİMLER (-)
620,620000,620999,620 SATILAN MAMÜLLER MALİYETİ (-)
621,621000,621999,621 SATILAN TİCARİ MALLAR MALİYETİ (-)
622,622000,622999,622 SATILAN HİZMET MALİYETİ (-)
623,623000,623999,623 DİĞER SATIŞLARIN MALİYETİ (-)
630,630000,630999,630 ARAŞTIRMA VE GELİŞTİRME GİDERLERİ (-)
631,631000,631999,631 PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ
632,632000,632999,632 GENEL YÖNETİM GİDERLERİ (-)
640,640000,640999,640 İŞTİRAKLERDEN TEMETTÜ GELİRLERİ
641,641000,641999,641 BAĞLI ORTAKLIKLARDAN TEMETTÜ GELİRLERİ
642,642000,642999,642 FAİZ GELİRLERİ
643,643000,643999,643 KOMİSYON GELİRLERİ
644,644000,644999,644 KONUSU KALMAYAN KARŞILIKLAR
646,646000,646999,646 KAMBİYO KARLARI
649,649000,649999,649 FAALİYETLE İLGİLİ DİĞER GELİR VE KÂRLAR
652,652000,652999,652 REESKONT FAİZ GİDERLERİ (-)(1)
653,653000,653999,653 KOMİSYON GİDERLERİ (-)
654,654000,654999,654 KARŞILIK GİDERLERİ (-)
656,656000,656999,656 KAMBİYO ZARARLARI(-)
659,659000,659999,659 DİĞER GİDER VE ZARARLAR (-)
660,660000,660999,660 KISA VADELİ BORÇLANMA GİDERLERİ (-)
661,661000,661999,661 UZUN VADELİ BORÇLANMA GİDERLERİ (-)
671,671000,671999,671 ÖNCEKİ DÖNEM GELİR VE KÂRLARI
679,679000,679999,679 DİĞER OLAĞANDIŞI GELİR VE KÂRLAR
680,680000,680999,680 ÇALIŞMAYAN KISIM GİDER VE ZARARLARI (-)
681,681000,681999,681 ÖNCEKİ DÖNEM GİDER VE ZARARLARI (-)
689,689000,689999,689 DİĞER OLAĞANDIŞI GİDER VE ZARARLAR (-)
690,690000,690000,690 DÖNEM KÂRI VEYA ZARARI
691,691000,691999,691 DÖNEM KÂRI VERGİ VE DİĞER YASAL YÜKÜMLÜLÜK KARŞILIKLARI (-)
692,692000,692999,692 DÖNEM NET KÂRI VEYA ZARARI
700,700000,700999,700 MALİYET MUHASEBESİ BAĞLANTI HESABI
701,701000,701999,701 MALİYET MUHASEBESİ YANSITMA HESABI
710,710000,710999,710 DİREKT İLKMADDE VE MALZEME GİDERLERİ
